date,adjclose,return,log_return
2021-03-31,222.64332580566406,0.05083220558444013,0.04958242699342897
2021-04-01,220.5833282470703,-0.009252455923119962,-0.00929552576717066
2021-04-02,220.5833282470703,0.0,0.0
2021-04-05,230.35000610351562,0.04427659122771899,0.043324388497766333
2021-04-06,230.5399932861328,0.0008247761127986308,0.0008244361718844317
2021-04-07,223.6566619873047,-0.029857428208930892,-0.03031223705748461
2021-04-08,227.93333435058594,0.01912159613436426,0.018941076007001657
2021-04-09,225.67333984375,-0.009915155733034697,-0.009964638245883383
2021-04-12,233.9933319091797,0.03686741230129442,0.03620406408291566
2021-04-13,254.10667419433594,0.0859569036478478,0.0824615371588125
2021-04-14,244.07666015625,-0.03947166704647498,-0.04027179907894094
2021-04-15,246.28334045410156,0.009040931223980753,0.009000306677510112
2021-04-16,246.5933380126953,0.0012587029151958085,0.001257911412789418
2021-04-19,238.2100067138672,-0.03399658468630862,-0.034587909254449344
2021-04-20,239.663330078125,0.006101017267521991,0.006082481415169929
2021-04-21,248.0399932861328,0.034951793439894185,0.03435484924604316
2021-04-22,239.89666748046875,-0.03283069676699324,-0.03338171795091616
2021-04-23,243.13333129882812,0.013491908213451476,0.01340170287553078
2021-04-26,246.06666564941406,0.012064715006025573,0.011992516455123612
2021-04-27,234.913330078125,-0.04532647907368281,-0.046385859854230695
2021-04-28,231.46665954589844,-0.014672094304228334,-0.014780794025162398
2021-04-29,225.6666717529297,-0.02505755171974844,-0.02537683713134589
2021-04-30,236.47999572753906,0.04791723957558203,0.04680461290993818
2021-05-03,228.3000030517578,-0.034590632711300695,-0.035203052789871174
2021-05-04,224.53334045410156,-0.01649874089928205,-0.016636360929421883
2021-05-05,223.64666748046875,-0.003948959080373515,-0.003956776807325818
2021-05-06,221.17999267578125,-0.011029338520784915,-0.011090612633393284
2021-05-07,224.1233367919922,0.013307460953421169,0.013219694470214068
2021-05-10,209.67999267578125,-0.06444373139784076,-0.0666139869184463
2021-05-11,205.73333740234375,-0.018822278764288325,-0.019001672485714396
2021-05-12,196.6300048828125,-0.044248212926854213,-0.04525703659502106
2021-05-13,190.56333923339844,-0.030853203980896415,-0.03133918628539079
2021-05-14,196.5800018310547,0.03157303299711356,0.031084853734470938
2021-05-17,192.27667236328125,-0.02189098294684022,-0.02213414578006038
2021-05-18,192.6233367919922,0.0018029458511532592,0.0018013224952045325
2021-05-19,187.82000732421875,-0.02493638386588848,-0.025252562795766022
2021-05-20,195.5933380126953,0.04138712802336375,0.040553601408475165
2021-05-21,193.6266632080078,-0.010054917128925145,-0.010105809239520404
2021-05-24,202.14666748046875,0.0440022264046771,0.04306162202970284
2021-05-25,201.56333923339844,-0.002885668382965889,-0.002889839951081735
2021-05-26,206.3766632080078,0.023879957500782645,0.023599290742317446
2021-05-27,210.28334045410156,0.018929840154243482,0.018752900206065234
2021-05-28,208.4066619873047,-0.008924522802159385,-0.008964584890580543
2021-05-31,208.4066619873047,0.0,0.0
2021-06-01,207.96665954589844,-0.002111268599623961,-0.002113500469111133
2021-06-02,201.7066650390625,-0.030100952337768105,-0.030563287475861584
2021-06-03,190.94667053222656,-0.05334476431283097,-0.05482031154624074
2021-06-04,199.68333435058594,0.045754470575515294,0.04473860632554917
2021-06-07,201.7100067138672,0.010149431698305955,0.010098272085864791
2021-06-08,201.19667053222656,-0.002544921741878703,-0.0025481655598922595
2021-06-09,199.5933380126953,-0.007968981371759054,-0.008000903407653626
2021-06-10,203.3733367919922,0.018938501740255687,0.018761400839628444
2021-06-11,203.29666137695312,-0.0003770180312155924,-0.00037708912038201647
2021-06-14,205.89666748046875,0.012789221849023313,0.012708130416930218
2021-06-15,199.7866668701172,-0.029675082579620482,-0.03012429716067012
2021-06-16,201.6233367919922,0.009193155632698069,0.009151155788618984
2021-06-17,205.53334045410156,0.019392614586788648,0.0192069740346885
2021-06-18,207.77000427246094,0.010882243306208794,0.010823457790850165
2021-06-21,206.94332885742188,-0.003978800587379316,-0.003986737073227676
2021-06-22,207.90333557128906,0.004638983624974058,0.004628256702323586
2021-06-23,218.85667419433594,0.05268476618207507,0.051343820984031875
2021-06-24,226.60667419433594,0.035411302984154513,0.03479874196476401
2021-06-25,223.9566650390625,-0.011694312026312215,-0.011763228305736152
2021-06-28,229.57333374023438,0.025079265670401973,0.02476994196174637
2021-06-29,226.9199981689453,-0.011557681931348984,-0.011624991064809973
2021-06-30,226.56666564941406,-0.0015570796861552605,-0.0015582931945795787
2021-07-01,225.97332763671875,-0.0026188230779431443,-0.00262225819371756
2021-07-02,226.3000030517578,0.0014456370513082906,0.001444593124038416
2021-07-05,226.3000030517578,0.0,0.0
2021-07-06,219.86000061035156,-0.028457809785947474,-0.028870583198134143
2021-07-07,214.88333129882812,-0.02263562857139878,-0.02289574720602526
2021-07-08,217.60333251953125,0.012658037290573132,0.01257859403128338
2021-07-09,218.98333740234375,0.006341837079579804,0.006321812249024031
2021-07-12,228.56666564941406,0.0437628194032984,0.042832279170544656
2021-07-13,222.84666442871094,-0.0250255268170938,-0.02534398967789286
2021-07-14,217.7933349609375,-0.022676262535623493,-0.02293732311171139
2021-07-15,216.86666870117188,-0.004254796226577984,-0.004263873629526309
2021-07-16,214.74000549316406,-0.009806316575730722,-0.009854715165981626
2021-07-19,215.4066619873047,0.003104482057777691,0.003099673103658058
2021-07-20,220.1666717529297,0.02209778342837665,0.021857165705963834
2021-07-21,218.42999267578125,-0.007888019850240235,-0.007919294852611359
2021-07-22,216.4199981689453,-0.009202007847976312,-0.00924460786068585
